naziv,opis,datum_od,stevilo,sifra_prizorisca,cluster,center_distance
Marko Juhant: Kako postanemo starši srečnih in uspešnih otrok?,čakati otrok dejavnost pravi šola fakulteta naraščaj leto prinesti uspeh sreča dom narediti starš otrok srečen sam naučiti shajati poskrbeti reč usmeriti pozornost vztrajati uspel frustracija vedno znova premajhen prenaporen treba zaščititi stiska postati premalo uspešen depresiven ravnati vabiti predavanje marka juhant priznan specialen pedagog motnja vedenje osebnost predavatelj avtor številen knjiga področje vzgoja petek grabeljškov dvorana ckv,2020-01-31 17:00:00,882,125172244209469,4,0.0057140130815032325
26. Bioexo - Največja razstava eksotičnih živali v Sloveniji,razstava eksotičen žival bioex ljubljana vrač velik razstava eksotičen žival slovenija društvo bioex pripravljati razstava ogled dan ura podrobnost razstava nejti linka razstava bioex velik dogodek let združiti član društvo bioex pripraviti druženje ljubljenček bioex dogodek društvo ljubiteljev eksotičen žival bioex približati čudovit žival človek pomagati odpraviti predsodek dogodek ozaveščati dobrobiti žival širiti dober volja letošnji bioex ponuditi velik dogajanje let sedaj pridružiti živalski prijatelj članov društvo ljubiteljev eksotičen žival bioex anakond legvan ptičji pajka orjaški kopenski želva dihurček kunec eksotičen ptica kuščar poseben temen soba nočen žival stran vivarij bioexoin presenečenje sporočati nik aleša bioex boas letos pričakovati atraktiven novost nov ograda velikan kača piton priti razstava več primerek burmanski mrežast piton veljati dolg kača svet odvečen energija otrok lahek pokuriti večmetrski napihljiv grad lumpa park starš privoščiti kava sladek palačinka izbran gostinec razstava odprt petek sobota nedelja zadnji dan zapreti prej vstopnina otrok človek poseben potreba brezplačen dijak študent upokojenec vstopnica šolar odrasel rojsten dan razstava družinski vodenje obvezen prijava infa bioexos popestritev pripravljati delavnica predavanje zelo zanimiv tematika več program lahek ogledati linka dogodek vreme prostor osnoven šola kettej muren ljubljana neposreden bližina kodeljev fakulteta šport razstava sodelovati popestriti dejavnost pisati infa bioexos prisrčen vabiti,2019-09-27 09:00:00,1951,371734182929171,4,0.006492658743510258
Tečaj in izpit za voznike živih živali - dodaten termin,marec predavanje marec izpit kje šentjura celj prijava simon salejneti prijavnica dostopen prijava nujen število mesto omejen cena osnoven usposabljanje cena obnovitven usposabljanje ddv obračunati osnova odstavek člen usposabljanje izvajati pooblaščen izvajalec uprava varen hrana veterinarstvo varstvo rastlina odločba šti skladen uredba svet zaščita žival prevoz usposabljanje pogovarjati potrebovati dovoljenje oza kartica prevažati žival kdaj registrirati prevoznik žival uvhvvr izjava oza listina imeti vozilo prevažati živ žival gospodarski korist prinašati dober počutje žival prevažati kdaj razkužiti prevozen sredstvo dokazilo imeti vozilo razkužen lahek prevozen sredstvo razkužiti sam več potek vsebina usposabljanje prijazen vabiti prevozivati dobrobitzivati simonasalejrazpiss zascitazivati tecajinizpitzaprevozzivihzivati,2020-03-05 14:00:00,555,207623569261974,4,0.006669942252343521
Protest 8. marec,leto marec vedno povsod vztrajati roža družba čokolada polepšati praznik vedno vztrajati nasilje ženska spolen nasilje očiten nevaren izraz patriarhati leto opozarjati družba načelen zavračati nasilje posebej spolen nasilje nasilje ženska otrok vsakdanji realnost praksa problematika naslavljati zmeraj nezadosten dokler spolen nasilje majhen velik mera občutiti tek življenje ženski sprenevedati živeti družba mera spoštovati član članica omogočati možnost sodelovanje nasilje načelen raven zavračati zelo očiten naredilio dovolj konkreten primer nasilje primeren reagiralio zavarovalio žrtev sankcioniralio storilec zato letos tradicionalen zbrati marec kongresen trg kjer izpostaviti najbolj pereč težava ženski soočati letošnji marec pripravljati kratek priročnik svetovati ravnati primer spolen nadlegovanje nasilje napisan poskušati ustrezati več javen okolje deloven mesto zdravstven izobraževalen institucija osnoven namen svetovati žrtev institucija kjer spolen nasilje dogajati bolj učinkovit ukrepati primer sum spolen nasilje poskrbeti podoben situacija prihodnji več prihajati objaviti kratek videti marec kongresce,2020-03-08 15:00:00,1203,275124796365576,4,0.006823800028404697
CAC Vrbljene 2020 & CAC Barje 2020,državen razstava pes pasma caca vrbljen državen razstava pes pasma caca bar,2020-05-23 07:00:00,506,3022382371123294,4,0.007025436099019193
Agritech 2020,celjisk kmetijski sejem,2020-01-29 09:00:00,664,2663925423696162,4,0.00706347561387056
Srečanje z Božičkom in živalmi,otrok čakati božiček letošnji obdarovanje pravi doživetje pripeljati živalski vrt program božanje hranjenje žival vključevati srečanje dober mož velik smeh dober mož imeti človek žival poseben otrok najprej obiskati žival pobožati hraniti nato pridružiti božiček zapeti pošaliti konec poimenski razdeliti darilo otrok pretekel let mali poreden udeležba program potreben rezervacija končan srečanje lahek samostojen nadaljevati ogled živalski vrt termin sobota pričetek ura poln nov termin sobota pričetek ura trajanje minuta cena otrok let otrok let vstopnina veljaven cenik odrasel spremljevalec plačati vstopnina veljaven cenik vstopnina veljati leten znižati leten vstopnica darilo darilo obdarovanje otrok termin prinesti ljubljana kasneje petek ura darilo obdarovanje otrok termin prinesti ljubljana kasneje petek ura darilo viden mesto napisan ime priimek otrok ura srečanje božiček lahek zagotoviti otrok dober mož prejeti pravi darilo darilo lahek izbrati spleten trgovina medvedje rob fizičen trgovina medvedje rob ljubljana dodaten vprašanje volja epošta narociti zoos možen srečanje dedek mraz srečanje dedek mraz žival velik skupina podjetje volja termin dogovor,2019-12-21 12:00:00,1381,174484495936494,4,0.007192605899593611
Z vlakom v božični Bolzano,lep zreti udoben sedež topel vlak opazovati romantičen zimski pokrajina bežati potem pridružiti zimski vikend potovanje vlak južnotirolski prestolnica,2019-12-20 15:00:00,3717,1162667453760101,4,0.007561819487309614
Prihod Sv. Miklavža in slavnostni prižig lučk v Novem mestu,četrtek ura glaven trg uvod vesel december nov mesto obiskati miklavž dogodek simbolen prižgati prazničen luč razsvetliti mesto miklavž spremstvo pozdraviti obdariti priden otrok program popestriti novomešek skavt gorjanski medvedje učenec zavod glasben šola lipičnik prireditev dopolnjevati kulinaričen ponudba kuhan kolo miklavž kuhan kolo črnomelj sodelovanje mojec,2019-12-05 17:00:00,1186,1122573994424298,4,0.007592573759913816
Smučarski sejem Snežinka,velik smučarski sejemski prireditev slovenija tokrat vrsta november gospodarski razstavišče ljubljana več obiskovalec mesto ponuditi pestra izbira nov rabljen smučarski oprema predstavitev smučarski center del sejem leto komisijski prodaja rabljen smučarski oprema kupec volja rabljen smukati smučarski čevelj palica smučarski oblačiti čelada smučarski sejem potekati marmoren dvorana bivši hala preddverje marmoren dvorana sejem odprt ura vstop prost,2019-11-21 10:00:00,1336,214671818598818,4,0.007641930496525842
