naziv,opis,datum_od,stevilo,sifra_prizorisca,cluster,center_distance
Aninska NOČ 2019,aninski noč pgd stojnec prirejati tradicionalen aninski noč potekati velik prireditven šotor vstopnina petek ansambel upanje dražen zečić sobota poskočen muzikant prireditev potekati velik prireditven šotor igrišče gasilski dom stojnec vstopnina prirejati bogat srečol poskrbljen hladen odličen najbolj nor veselica videti stojnec kjer glasba plesišče čakati dober kapljica domač opalenka vabiti pgd stojnec aninski noč,2019-07-26 19:00:00,1261,1460877777470994,2,0.029845140437865233
Velika vrtna veselica z bogatim srečelovom,pgd telč prirejati sobota velik vrten veselica bogat srečelov zabavati ansambel rok žlinder pijača jedača poskrbljen primer slab vreme postavljen šotor vabiti telč,2019-07-27 20:00:00,568,372755216176790,2,0.03415090158231319
Gasilska veselica z ansamblom Naveza,pripraviti najbolj nor poleten noč rogaški slatina letos ritem razvajati ansambel naveza kdaj sobota kje gasilski dom pgd rogaški slatina prvomajski rezervirati čas pridružiti velik šotor najbolj vroč ozračje čakati bogat srečel poskrbljen jedača pijača videti rogaški slatina vabiti,2019-07-20 20:00:00,634,1968666153362450,2,0.03499003876607698
Gasilska veselica PGD Kriška vas z Dejanom Vunjakom,sobota avgust vabiti tradicionalen vrten gasilski veselica kriški zabava poskrbeti dejan vunjak dober volja gasilka gasilec pomočnik gostja tokrat razvajati kriški dobrota bogat srečelov upati zbrati velik število,2019-08-03 20:00:00,513,683717844983495,2,0.03526923582799149
Gasilska veselica na Vrhpoljah pri Moravčah,gasilski veselica obletnica gasilski društvo prevzem nov voziti petek zabavati skupina mamba kings sla sobota zabavati skupina skupina harmonka nroll jedača pijača poskrbeti vrhpoljski gasilec vljuden vabiti,2019-08-23 21:00:00,827,10156942398253153,2,0.037830565528779767
Velika gasilska veselica z Dejanom Vunjakom,gasilka gasilec pgd blagovica vabiti velik gasilski veselica dejan vunjak brendijev baraba kdaj kam igrišče blagovica paziti prejšnji dan blagovica nor žura ansambel smeh hrana pijača poskrbeti gasilec gasilka pgd blagovica danes lahek pomagati poslan sms prispevati gradnja nov gasilski center priprava zdaj dan nor zabava blagovica videti,2019-08-17 20:00:00,1167,1539411139633819,2,0.03796472893473082
Gasilska veselica v Štepanjskem naselju,štepanjski naselje zaključevati letošnji sezona gasilski veselica ljubljana dober žura dolg noč poskrbeti skupina mamba kings okusen hrana pijača poskrbeti štepanjski gasilec pozabiti velik srečel bogat nagrada videti sobota september velik šotor gasilski dom pesarski vstop prost spremljati aktivnost dogodek sproti dopolnjevati,2019-09-07 18:00:00,2320,944664185562875,2,0.038946483626963624
Gasilska veselica PGD Unec s skupino ZVITA FELTNA,gasilec gasilka pgd unec ponoven organizirati gasilski veselica navada zadnji sobota avgust pričetek hrana pijača poskrbeti domač gasilec manjkati bogat srečel nepozaben slovo poletje letos poskrbeti član skupina zvit felten ansambel strel toreej rezervirati datum priti dober žura konec poletje,2019-08-31 19:00:00,1135,301955446622697,2,0.039661502839687696
"38. Tekma koscev, grabljic in štangarjev",vabiti udeležiti prireditev tekma kosec grabljica štangar nedelja avgust ura prireditven prostor gasilski dom lovrenc tekmovanje sled velik gasilski veselica velik šotor zabava poskrbeti ansambel saš avsenik,2019-08-04 15:00:00,605,914515241927994,2,0.04059616985034951
Gasilska veselica PGD Šmarca,šmarec letos končen gasilski veselica tokrat sobota avgust živ glasba pričeti ura pozen noč žura ansambel hec navada poskrbljen mlad ura nastopiti čarodej tona pester dogajanje odličen hrana ugoden cena pijača odvijati tradicionalen srečel pridružiti,2019-08-24 17:30:00,504,1546886112251283,2,0.042085811985216055
