naziv,opis,datum_od,stevilo,sifra_prizorisca,cluster,center_distance
Josipa Lisac,cankar dom velik navdušenje koncert velik živeč hrvaški glasbenica josip lisaca vrač ljubljana več let obdan nov glasben nagrada porina izid album josip lisaca croatio records studio mojoj duša pevka obarvati ljubljanski jesen popeljati občinstvo veličasten drevored uspešen pot imeniten izbor lep pesem gallusov dvorana eura,2019-09-29 19:00:00,3668,265166920191742,0,0.014885746950990649
The New Power Generation celebrating Prince! /14.12./,new power princ ljubljana sklop serija koncert musicology barcaff sessions prihajati težek pričakovan glasben spektakel čast frontman mentor brat velik legenda svetoven glasben scena princeo pripravljati bend new power vstopnica prodaja prodajen mesto early bird omejen število razprodan omejen število razprodan dan koncert član bend new power obdobje spremljati princeo prvič ponoven združiti uraden tribut koncert leto pevčev rojsten morris hayes glasben vodja bend princeov desni rok koncert združiti prvoten član bend gostja številen svetoven zvezdnik pripeljati nepozaben glasben proslava neverjeten pozitiven odziv publika strokoven javnost pripeljati ideja koncerten turneja princ čast turneja new power nenadomestljiv princ mikrofon nadomestilo karizmatičen pevec mackenzio vokalen odrski nastop vzbuditi navdušenje publika svet princ poskušati avtentičen nastop izkazovati spoštovanje velik spoštovanje publika new power praviti nastop igrati šef vedno oder koncert pravi glasben velik hit obdobje bogat kariera princ let new power lastnoročen napisati sporočilo javnost poudariti bend dober bend čas kmalu postati funkiesti banda landa lay down youra funky weapona com join floor making lov anda musica only things worth fighting new power want chang worlda only thing thati oura way youra old fashioned musica youra old ideas sicka anda tired telling whati new power princ lineup mackenzio vokati morris hayes keys sonny bass tony rapa guitara les drums kenny holmen sax flut homera dell levi seacer lead guitara koncept musicology barcaff sessions slovenija resnica preprost poudarek skrben izbran jazz funka soula glasbenik svetoven format nastopati intimen klubski vzdušje serija koncert musicology barcaffè sessions razvijati rasti relacija ljubljana zagreb beograd glasba končen vračati publika publika glasbenik ljubljanski zgodba začeti september takrat različen prizorišče prestolnica nastopiti incognit robert glasper angio ston mario biond knower kezia jones raula midon snarky puppy sezona zaganjati koncert hinda zahra cvetličaren branda new heavies kino šiški new power kino šiški dobrodošel krov,2019-12-14 21:00:00,667,154287574875,0,0.015152512547104742
Dan D v Klubu Cankarjevega doma,dan svojevrsten posebnost slovenski rocka glasba status popularen domač bend pomislek žrtvovati svoboden izražanje raziskovanje različen glasben forma preizkušanje poslušalec izziv običajen območje udobje uspešen pot nanizati vrsta uspešnica čas voda plesati počasi podoben simfoničen orkester rtv slovenija let nastopiti dvakrat poln križanka akustičen projekt tih osvojiti slovenski grad podati popolnoma nov pot album dno številen glasben kritika razglasiti album let izvedeti uspešen antiturneja prostor vaja kjer član bend oči oči srečevati občinstvo intimen dogodek nastal album knjiga pohvala pritožba mil drag maj predstavljen ponoven poln križanka oktober razprodan november klub eura mlad star let upokojenec,2019-10-31 20:00:00,742,265166920191742,0,0.01767117661548633
Umek // Kurzschluss,kurzschluss predstavljati umek vstopnica cena ever umek lani razprodan deseturen techen maraton kurzschluss obeležiti obletnica glasben ustvarjanje fotr prijeti vzdevek slovenski oboževalec december nabor eminenten ime spremljati vrač mesto zločin december stopiti mešalka oder kurzschluss pravi sam edinstven prostor slovenija ustvarjen prvič predstaviti svež zvok letošnji let uspešnica dica environs retractor reden spisk set velik ime elektronski techen scena nositi poseben pomen obeleževati pomemben datum žena senka obljubiti večen zvestoba veljati pionir elektronski glasba slovenija trik mešalka naučiti let let kasneje lasten založba consumera recreation recycled loops voda skupaj valentin kanzyanij izdati miks let singlo posing postati nepogrešljiv del partyje odprt rok sprejeti meja elektronski glasba let material ustvarjati lasten techen glasben založba pot neomajen status steber svetoven techen scena poln izziv leten kariera uspešen premagovati podvig prislužiti priznanje uspeh potrjevati svetoven merilo nastopiti več festival partyje klub praznovanje elektronski glasba nazadnje navdušiti ameriški puščava blacka rocka desert nevaditi kjer zatresti oder kulten festival burning mana popularen glasben trgovina splet elektronski glasba beatport zadnji let komad zasesti mesto techen lestvica vibrancy brethren specifica flavoura reden gibati top mešalka letošnji kurzschluss predstaviti svež zvok kraljevati vrh glasben lestvica techen odisejada dopolnilo leten nizozemec reiniera zonnevelda korak svet glasba narediti rosen let prvič obiskati učen ura klasičen klavir kmalu začeti komponiranje glasba izvajanje sola koncert ljubezen klasik zbledel študij udeležiti rejv zabava zaključek magisterij let pozornost posvetilo strast produkcija izvajanje techen glasba kmalu pritegniti pozornost velik ime scena uporabiti miks oliver koletzek careti cox richio hawtina moby zahvaljevati znanje klasičen glasba izkušnja obisk rejv party ustvariti edinstven mešanica zvok glasben stvaritev dajati poseben širina globok melodičen bolj razbijajoč acid techen združevati prepoznaven odrski nastop prisega spontanost sinergija začutiti stran množica let ustvarjati lasten založba filth acid služiti platforma odkrivanje nov razsežnost techen glasba hit things might hav said album megacity servanta zavzeti mesto lestvica beatport prebiti hollywood tovrsten uspeh zadovoljiti prehiter produkcijski veščina nastop tresti plesišče svet vplivati soustvarjati techen svet prihodnji nabor eminenten ime pridružiti oder francoski producent didžej matti sassariti dokaj svež ime glasben stratosfera izdaja založba terminal intec tronica relief sec tec hiter uveljaviti zasidrati ospredje nov techen scena moč vztrajen dokazovati studio vloga producent mešalka edinstven mešanica techen tech houseo neutruden nastop cel svet krmara kariera pot povsem pisan koža podpora velik ime careti cox adati beyer josep capriat chris leibing nicola moudaber zvezda prihodnost zelo naklonjen kurzschluss dogodek informacija več umek hit all want cheezina collision wall ravaged vibrancy umek splet www fba mca sce yti vprašanje dobiti infa kurzschlusss,2019-12-20 22:00:00,6815,243956005758989,0,0.01768063237060649
"Koncert skupine NIET // ZIP Baza, Trzin",presenečenje legendaren skupina nieta ponoven izpeljati koncert ustaviti zip baza trzin vstopnica prodan vstopnica naprej dan koncert vstopnica mogoč kupiti osebje zip baza spleten bližina človek misliti uspel ogledalo imeti dež bel prah nov uspešnica naleteti odličen odziv manjkati legendaren star uspešnica februar depresija lep dan smrt vijolica ruski vohun maj čas revolucija noč večnost obet nostalgičen večer ogromen pozitiven energija vokati borut marolt kitara igor dernovšek kitara robert likar basa janez brezigar boben tomaž bergant nov slovenski turneja skupina konec let odločiti čas prekiniti delovanje oddih let neprestan ustvarjanje koncertiranje stran dober del stran začutiti pogrešati odreti zato letos polet skleniti znova vrniti,2020-05-09 20:00:00,660,102393244563236,0,0.01812395859263363
"Nina Pušlar, Grad Brežice, 9. avgust ob 21h",nina pušlar prihajati odličen bend več ducat hit reden poln radijski valoviti nabolj priljubljen slovenski pevka razgiban leto poln nov izkušnja ustvarjalen izziv posneti aktualen hit video odličen valentinov koncert velenjski rdeč dvorana vstop nina pomlad razprodan koncert sng maribor prihajajoč turneja grad dvorec zanimiv zelo poseben prizorišče zamuditi ninin nastop sloveti zgodba stati vrhunski glasben pevski izvedba prepojen čustvo velik odmerek pozitiven energija tokrat program oblikovan prerez ninin ustvarjanje zmaga bitka talent obvezen svet vedno poljub klopec zagotovo predstaviti čist svež oder studio trenuten odličen ustvarjalen kondicija vstopnica prodaja volja prodajen mesto event splet lep vabiti,2019-08-09 21:00:00,1337,132137526822759,0,0.018263750121712177
"Nina Pušlar, Grad Murska Sobota, 10.8.2019 ob 21h",nina pušlar prihajati odličen bend več ducat hit reden poln radijski valoviti nabolj priljubljen slovenski pevka razgiban leto poln nov izkušnja ustvarjalen izziv posneti aktualen hit video odličen valentinov koncert velenjski rdeč dvorana vstop nina pomlad razprodan koncert sng maribor prihajajoč turneja grad dvorec zanimiv zelo poseben prizorišče zamuditi ninin nastop sloveti zgodba stati vrhunski glasben pevski izvedba prepojen čustvo velik odmerek pozitiven energija tokrat program oblikovan prerez ninin ustvarjanje zmaga bitka talent obvezen svet vedno poljub klopec zagotovo predstaviti čist svež oder studio trenuten odličen ustvarjalen kondicija vstopnica prodaja volja prodajen mesto event splet lep vabiti,2019-08-10 21:00:00,1642,118415775744059,0,0.018263750121712177
"LUKA BASi | 1. Februar 2020, Cvetličarna",velik predvalentin koncert februar cvetličaren pričetek prodaja sreda november zamuditi nakup vstopnica sreda dalja mesto event petrola vstopnica luk basa cvetličaren tokrat samostojen koncert nastopiti prvič glede razprodan dalmatinski noč križanka mesec dogodek priporočati pravočasen nakup mesto event petrola sreda dalja dalja trenuten najbolj aktualen slovenski glasbenik vpisati slovenski glasben scena uspel prodreti hrvaški trg pripravljati nov velik glasben zgodba najavljati velik predvalentin koncert cvetličaren imeti valentin koncert poseben zato valentin želja izdati pesem osrečevati koncert lokacija kjer sam premnog koncert žur nor vesel lahek ekipa glasbenik fen pričarati nov zgodba verjeti upati postati tradicionalen valentinov koncert luk basija postati drag lahek razveseliti drag praznik zaljubljenec luk basa ekipa vedno velik prireditev poskrbeti presenečenje obet divji večer zabava velik hrvaški hit pravi večer zaljubljen pravi ideja novoleten darilo drag,2020-02-01 21:00:00,2989,43956324012,0,0.01863875110714053
Klapa Rišpet ● Logatec - Športna Dvorana ● 29.11.2019,klap rišpeti november logatec športen dvorana začetek prodaja vstopnica ponedeljek onlina prodajen mesto event petrola slovenija razprodan koncert ljubljanski križanka klap rišpeti napovedovati slovenski turneja okvir nastopiti logatec gost večer edin goran karan klap rišpeti logatec športen dvorana zadnji let klap rišpeti avtorski skladba odlicen priredba star dalmatinski uspešnica uspel pridobiti številen oboževalec tuba pesem prst zapleten prepevati skupaj dalmatinski pevka jelen rozga poslušan vec krat mislina krat kad pošel krat nov hit šti ljub ociti kazati krat,2019-11-29 20:00:00,715,112284555454831,0,0.019114531039551377
"Vlado Kreslin, Beltinška banda in Mali Bogovi, ŠŠO",rdeč dvorana leto marec posvet dober polovica čast cenjen žena mama sestra prijateljica babica sodelavka prirediti nepozaben spektakularen koncert leto leto rdeč dvorana velenje obiskati zvezda slovenski tuj glasben scena tokrat drugače tradicionalen koncert dan žena navduševati dama starost pričarati nepozaben doživetje leto čakati naslednji čast tokrat rdeč dvorana velenje nastopiti vlada kreslina beltinški banda mali bog šaleški študentski oktet šša pozor število vstopnica omejen zato pohiteti zagotoviti pravi čas vstopnica volja prodajen mesto event petrola pošta slovenija več informacija nastopajoč vlada kreslina beltinški banda mali bog zadeva vlada kreslina enkratnost najbolj skrivati inovacija odkrivati lahkoten ležeren napetost poseben skrb prestolniški občinstvo vedeti prihajati koncert poseben prazničen dan iskati napoj sreča upanje senca kompromis izguba umeten veselje vlada kreslina pripeljati gost vznemirljiv izzivalen prebuditi domišljija svetlati slapšak večer dec šaleški študentski oktet šaleški študentski oktet šša zasedba najbolj zavajajoč ime izjemen popestritev tradicionalen koncert dan žena rdeč dvorana ljubiteljski glasbenik grlo redek spraviti glasben presežek zato bolj vnet vlagati celovit odrski izdelek želja koncert ustvariti doživetje poslušalec pust ravnodušen vokalen petje posegati multimedijski izdelek standa komedij improvizacija koreografija soustvarjalec šaleški vokalnoglasben prostor truditi izvajati projekt vsebina odstopati ustaljen okvir zborovski glasba delovanje skušati razbit stereotip zborovski petje duhamoren dolgočasen,2020-03-06 20:00:00,1026,201354919886497,0,0.019556846706142703
