naziv,opis,datum_od,stevilo,sifra_prizorisca
"Balkan Hits | Klinac I @Top Six Club (Petek, 31.1.)",petek premieren klub top six prihajati klinaca slišati hit praviti sumraksvetel nemati mir korak ispred molitev vip paketa vip miza boati vstopnica možen kupiti vhod klub ura dalja vstopnina,2020-01-31 23:00:00,787,331835760245003
"Primorska fešta/ 20.2.2020/ Cirkus, Ljubljana",primorski fešti cirkus letos študentski klub primorski regija pripravljati fešta primorski fešt letos predpordajati vstopnica sistem dalja early bird vstopnica paketa naslednio vstopnica paketa nasleden vstopnica prodajen mesto sistem karta karta predprodaja lahek vstopiti cirkus ura organizator primorski fešta ljubljana primorski študentski klub kgti kati kiti ktti kšs kšop kšok kišd kšopp kšib kzti lahek enkrat rodilo najraje primorec primorski fešta šprica piti primorcismonorec mon dejšprica starosten omejitev organizator pridrževati pravica sprememba program odpoved dogodek,2020-02-20 11:00:00,1083,237302949627686
11. Kongres Misli na srce: Transplantacije in transfuzija,projekt misel srce letos organizirati kongres bolj podroben poglobiti tematika transplantacija transfuzija kongres popoldan slišati predavanje strokovnjakov področje kongres namenjen študent absolvent diplomant prijava odpreti sreda eobrazec objavljen stran dogodek število prijava omejen spremljati dogodek ostal obvestiti nagraden igra,2020-03-05 16:00:00,560,1104667533058410
Guns N' Roses - Real tribute,sklop red bikerfest oder nastopiti guns roses real tribut banda jailbreak besti europiti koper prihajati velik guns roses real tribut banda imeti turneja koncert indija brazilija tunis malta evropa ostal predel svet pevec alex imeti popolnoma identičen barva glas axti rosa dober let vrač fen guns roses dober čas bend obet nepozaben koncert pravi glasben poslastica oboževalec legendaren guns roses ljubitelj kvaliteten glasben izvedba živ del glasben spektakel dolg pomniti zato vabiti sobota april red bikerfesti snacka bar nepozaben koncert dober guns roses real tribut banda evropa svet vstop prost,2020-04-25 23:00:00,1045,144501068991113
DROPS festival 2019,drops festival last year seed was planted this year plan grow iti oura previous edition showed whati can doneti with sheer will builda festival scratch with almost zero funds iti learned lota anda iti gav power anda motivation maka anothra edition besti possibla psychedelica event oura necka woods drops will marka new slovenian rava history only internationala undergrounda electronica festival with hig emphasis deep powerfula musica audiophiti soundsystems highesti quality sounda festival will blast stages hallucinatorium will focused highly psychedelica tranec musica with oura humbel opinion som most forward thinking artists scena this staga will powered upgraded legendary funktion soundsyst caga staga will focus deep pounding sounds darka quality techen nighttima anda chill outi experimentati ambient dub worlda musica electer etca daytima this staga will powered lambdati labs highly innovativa highend speaker company with mindblowing results quality sounda vision visionary decorations will provided wellknown parta collectiva artists with mindaltering ideas abouti whati dancefloor can look lik testament quality they wera chosen light guerill festival lights ljubljana displaying their absolutely insan interactiva light cuba checka this outi they will collaborat with psy optix decorations psy optix small squad good friends living austrio specialized string arts lycr anda backdrops they ara celebrating year anniversary festival prepara for som mindblowing stuff hallucinatorium parvati records greec quintessenca records germany uroborosa records chiti glo records braziti uroborosa records chiti uroborosa records braziti lov corpa cost rica banyan records shipiba sounds austrio visionary shamanics ewoks austrio optix tribepsyoptix austrio chagg records slovenio chagg records slovenio chagg records slovenio quadlogos slovenio caga staga rommek blueprint records united kingd sharada sood ankurbln rituati atmophiti electronics germany glio toxica rec deepnda rec slovenio germany shdwti triangular shaped dazed anda confuzed mint soter amun slovenio peltz chagg records slovenio ofnanapes chagg records krd slovenio selgor chagg records slovenio lnln chagg records slovenio stagnati chagg records afghanistan slovenio douchean chagg records krd slovenio higash nosyncbutton flying carpeti slovenio drofa sektorselektor slovenio beluga sektorselektor slovenio sss seza slovenio presati tickets eura for tickets send chagg records contacti oura ambassadors bor slovenio internationala vid slovenio ljubljana ilje italy triest support buying presati ticket iti really does maka differenca camping highend non vegan food open bar beautifula location foresti infa anda lineup announcements coming really soon stay tuned,2019-08-16 12:00:00,6268,1241679469340600
K4x4 w/ The Ghost (UK),voznik najbolj razvpit potujoč ploščaren berlin februar zaviti kersnikov gost nahajpan eklektičen dje ghost james creed jos tweek več let hupati vinilen mercedesov bus krožiti berlin mesečen vozovnica linija uporabljati fotra zip ghost mesto znan organizacija nabit večer rejverski ladja hoppetoss skrben izbran vinilen kovček voditi desetletje hous tehen elekter godba seti pripeljati festival dimensions tik nastop štirka celovečerec londonski fabric dvojec ghost velik floor uvesti mayell manjkati izkušnja nemški klub pofočkati legendaren robert johnson bar poveljevati evropski giga podkovan nikolati moara bazen ghost mayell luckison bar nikolati moara klub kersnikov ljubljana starosten omejitev aga limiti vstopnina entranec predprodaja olaiic dan dogodek infa infa garderoba lost founda gmailc,2020-02-21 23:00:00,562,126700024052347
Koncert Psihomodo pop,let mesto legenda cra roll star uspešnica predstaviti nov komad zadnji album digitalen nebo dober ati star zagrelio dvorana štuk,2020-05-08 21:00:00,557,106288480930808
Pustovanje 2020,mlad povedati pust hrust najti kostum sešiti sestaviti ustvariti letošnji maškara približevati pusten torek padel februar vrhnika pustovati pusten nedelja februar letošnji rajanje potekati dvorana anton martin slomški suh topel ura vedeti ribič pep dober prijatelj ptič kakadud loviti lisjak foksner najti zaklad skupaj plesati prepevati poznan skladba foksner iti morje lačen gusar kakad hozntregar iti svet lumpa kavbijec indijanec pusten rajanje popestriti žabica plesen šola urški mažoretka vrhnika spremstvo pihalen orkestra vrhnika lahek prepustiti poslikav obraz potekati izbor maska krofa simbol pustovanje poskrbeti leo klub vrhnika vstop prost visitvrhnika,2020-02-23 15:00:00,503,249529702079926
36. Druga godba 2020,lanski obletnica festival programski močen vpeti evropski projekt jazz connectiva godba vrač običajen tirnica mnog zvest obiskovalec prepoznati retra zasuk koncept programski konvencionalnost izstopajoč ime zaznamovati program festival zlat let ponudba glasba svet začiniti ime cesario evor yousso ndoura khaled mariz mnog neizmeren vesel lahek letos družba fatoumati diawar nedvomen vodilen nov generacija glasbenikov afrika prisoten festival koncerten prizorišče godba žanrski povsem neomejen tovrsten glasbenik ponujati možnost lasten izbira celoten program npr nastop fatoumati diawara referenčen festival guess wha letošnji godba prvič ponujati petje ruski republika burjatija litev afganistan plesen afrokaribski champet kolumbi slovenski pevka delo zaznamovati domač scena zadnji desetletje tradicija festival ostal neokrnjen upreti ponoven povabilo sijajen sílvio pérez cruz predstavitev trenuten dober balkanski brass banda mladec francija mnog spomniti izjemen nastop còr dejati plan naslednji teden program razširjen izvajalec atraktiven program pogovor delavnica nov koncerten predstava otrok pripravljati skupaj vodnikov domačija prepričan program vsebinski geografski raznolikost obseg točen lahek privoščiti ljubitelj glasba deliti radovednost ljubljana maribor programski odbor festival godba bogdan benigar nada čorović irati kolbezen maaik wuyts sreda maj cankar dom sílvio pérez cruz san salvador musiqu četrtek maj vodnikov domačija losbulldozero kino šiški fatoumati diawar kino šiški petek maj cankar dom christina abdelnoura andy moor uršuti ramuti fant jazbecov grapa kefay elah soroor sobota maj lutkoven gledališče maribor zvezdan novakovica zven gostja dzamba agusev orchestra,2020-05-13 20:00:00,870,202855746590308
?? / ???????? ???????? / 29.02. / Vstopnine Ni,veselica sobota klub pivnica nov generacija letos februar obstajati poseben trenutek zgoditi let zato večer zabavati vstopnina sorta punca lepota imeti dan dogodek teden ponedeljek sobota rojsten dan praznovati dobiti steklenica identifikacija oseben dokument možnost predhoden rezervacija miza dogodek poseben mesto praznovati rojsten dan dekliščina fantovščina družba pisati rezervirati fba privati sporočilo rezervirati prevoz prelesje šentrupert slovenija,2020-02-29 21:00:00,616,139371466073168
Veselica: Zvita Feltna in Urban Vidmar,kška charel pripravljati najbolj nor noč daleč hum letos vračati edin zvit felten edinstven urban vidmar skupaj bend narediti noč nepozaben dogodek povezovati dje jacobsen priti skupaj podoživeti lanski prekrokan zabava kdaj marec kje dvorana hum vstopnica kmalu predprodaja starosten omejitev,2020-03-28 21:30:00,619,109049862457101
K4 Roza: Taste of Berlin,močen priokus berlinski klubski scena kvirovski energija ponoven vstopati klet kersnikov mešalen pult zvrstiti berlinski ady toledan touché aminus ljubljanski holomonda ponoven združevati praviti združen večer preplet plesen svet elektronski popastičen srce biti mali floor prihajati ljubljenec berlinski klub ady toledan touché ady toledan kariera začeti teti aviv znan prepletanje žanr ustvarjati nov elektronski zgodba kmalu postati stalnica znan berlinski klub partija tresor abouti blanka cocktaiti damoči riot anda carry nation nyca touché dje organizator dogodek lastnik zloglasen kvirovski klub sounds rip razkošen miks vokalen hous poživljajoč disk osvežiti plesišče mnog razvpit klub griessmühel wilda renat schwuz sodelovati undergrounda dogodek trashera brenen rezident domač studio francoskoberlinski šarm dober mera electer pop velik floor postreči aminus ustanoven član danceclas skupina platea repas bivši bobnar bend evvol pravkar izdati sola album dumbaiti neustavljiv pop glasben neuravnoteženost rušiti ljubljanski holomonda bar ady toledan touché arena aminus holomonda vje klub kersnikov ljubljana starosten omejitev aga limiti vstopnina entranec infa infa garderoba lost founda gmailc društvo škuca,2020-02-29 23:00:00,650,126700024052347
"Motozbor z blagoslovom, MK Packenstein, Šmartno ob Paki",binkošten motopraznik savinjski šaleški dolina nedeljski srečanje motoristov blagoslov bogat program zabaven igra srečolov dober ansambel hrana pijača zbor motoristov panoramski vožnja moto igra blagoslov motor zbran zabava shadows play bobnar marka gost blagoslov popestriti ponudba številen razstavljalec motooprema yog racer heliti nolan sts smarta turna sistems zbor začetek prireditev ura dalja vabiti motorist mopedist motoveteran ljubitelj starodoben vozilo firbec takrat imeti pameten primer slab vreme prireditev sobota april srečanje moč podpreti občina šmarten paka mladinski center šmarten paka sponzor donator predstavljen sam prireditev,2020-05-31 09:00:00,696,1600875000164422
