naziv,opis,datum_od,stevilo,sifra_prizorisca
Finale Klubskega maratona 2019,letošnji klubski maratonec časten tradicionalen odtekel menza korito kjer turneja domač klubovje predstaviti nabrati koncerten kondicija pridružiti ciljen črta finale nastopiti bend pantaloons hop cup brass bend primorski tititi neskončen improviziran jazzovski pletenica bring vanguards prerojen novogoriški rocka roll swagger parliament attacka novomešek punkrockerski pavlih glog posthardkoraški poetičen preganjavica lovekovski izpoveden poetik dis harmonija moderen trenutek vstop prost več infa klubski maraton nastopajoč kompilacija after izak kermca rša,2019-11-01 20:00:00,520,281184868566096
Teden možganov 2020 v Mariboru: Človek ni otok,zanimati ločitev zdeti nemogoč zelo težek para hiter odločiti prekiniti zveza socialen delavec pristop odvzem otrok družina razviti možgani zlorabljen otrok človek današnji čas vedno bolj osamljen obramben mehanizem uporabljati medoseben odnos vprašanje letos marec odgovoriti izkušen psihoterapevt socialen delavec študent psihologija doktor družbosloven znanost brezplačen predavanje medicinski fakulteta maribor letošnji dogodek teden možgani pripravljati urški krampti diplomantek teološki religijski študij specializantek psihoterapija nuš kovačević tojnki psihoterapevtek psihologinja supervizorek supervizija barbar korošec dipti soc delavko specializantek vit vuk diplomantek psihologija nina kozinc diplomantek psihologija neja lešnik magister psihologija kdaj predavanje popoldanski ura kje medicinski fakulteta maribor taborski ulica vljuden vabiti spodaj najti podroben opis dogodek teden možgani maribor letošnji vsebina predavanje teden možgani odmeven zanimiv dogodek organizirati društvo sinapes letošnji teden možgani medoseben odnos slogan glas človek otok predavanje zvrstiti marec potekati popoldanski ura medicinski fakulteta maribor taborski ulica predavanje brezplačen predavanje potreben predhoden prijaviti podroben opis predavanje lahek prebrati spodaj ura medicinski fakulteta maribor izvajalka jan pogorevca naslov predavanje terapevtski odnos predavateljica jan pogorevca psihiatrinjati psihoterapevtek dejaven spremljanje zgodnji razvoj otrok družina govoriti potek psihoterapija različen vidik terapevtski odnos povedati dober psihoterapevtski odnos omogočati vzdrževati ura medicinski fakulteta maribor izvajalec andreja fištravec naslov predavanje nadčuten zaznavanje družben odnos predavatelj andreja fištravec dolgoleten asistent docent oddelek sociologija filozofski fakulteta univerza maribor bivši župan strokoven sodelavec raziskovalec zavod šolstvo inštitut družben odgovornost direktor inštitut aplikativen družben političen vprašanje govorilo zahoden koncept znanost znanstven razumevanje človekov zavest opisati izhajajoč kriza zahoden zavest družben delovanje institucionalizacija globalen konflikt npr oblika svetoven vojna hladen vojen govorilo zahoden znanost gledati intuicija ura medicinski fakulteta maribor izvajalka milen jelen naslov predavanje odnos primež obramben mehanizem predavateljica milen jelen psihoterapevtek psihoanalitičen psihoterapija ecpp izvajati individualen psihoterapija zavod psihoterapija izobraževanje znanost pamin maribor obramben mehanizem duševen proces nezaveden uporabljati zaščititi izogniti preteč čustvo travmatičen spomin strah izguba spoštovanje obramba imeti cena bolj manj odmik resničnost izkrivljati imeti neposreden vpliv medoseben odnos predavanje namenjen izvedeti več obramben mehanizem oblikovati delovati spreminjati prepoznati ozavestiti pomoč ohranjati duševen ravnovesje medicinski fakulteta maribor predavanje dosje predavati študent študentka psihologija maribor zamuditi izreden zanimiv serija kratek predavanje pripraviti študentka lubej dipti pes razviti možgani zlorabljen otrok sabin majerič dipti pes dogajati možgani ljubiti špeti novak zdrav odnos zdrav telo vit vuk dipti pes osamljenost postaja epidemija trajati ura medicinski fakulteta maribor izvajalka šinka naslov predavanje odvzem otrok mit resnica predavateljica šinka diplomiran socialen delavko bogat izkušnja predstaviti oseben pogled koncept socialen delavski deloven odnos praksa ospredje naslednji vprašanje kdaj csd pričeti obravnava družina kdaj potreben otrok umakniti družina ukrep vpliv otrok družina otrok lahek vrniti družina vedeti odločati otrok korist pogostitev medicinski fakulteta maribor medicinski fakulteta maribor izvajalec milenka kovačević naslov predavanje ločitev partnerski odnos predavatelj milenka kovačević psihoterapevt eapa diplo leten izkušnja psihoterapevtski del kliničen praksa delovati edukativen preventiven izvajanje reden delavnica predavanje področje razumevanje osebnost medčloveški odnos enouren predavanje govor ločevanje partnerski odnos spoznavati osebnosten zgradba odražati proces ločevanje ločitev zdeti nemogoč zelo težek para hiter odločiti prekinitev zveza para uspešen ločiti razlikovati par ločitev mučiti trpeti zapuščati zapuščen predavanje namenjen spoznati več lasten vzorec ločevanje meniti imeti področje težava,2020-03-16 18:00:00,937,1166812516702708
23/11/2019 Massive UV GLOW - Štuk Maribor,massiv backa ogromen partyje mesec kjer človek massiv vrač velik spektakularen partyje massiv glow začet nov sezona massiven partyjanje pripraviti velik party slovenija lokacija štuk maribor odločiti opremiti celoten prostor poseben luc številen efekt uvglow sticks atmosfera dvigniti visok vizažistka poslikati barva musica hous rnba hiphop pop ultra europiti ultra europiti oper club centrala club steel rovinja germany toura zrć booza cruis support croatio slovenio support mattias grossa marcot ogromen trud vložen velik projekt nasvet nesmeti manjkati barva nov razsvetljati glow zapestnica fir show confeti led show smok effects bolan sounda sistem laser show special guests fotograf rezervacija miza inbox štuk karta predprodaja proma cena promotor maribor okolica štuk massiv,2019-11-23 22:00:00,1429,202091796475825
Avdicija - nova HIT komedija / Vrhnika - Razprodano!,avdicija najbolj pričakovan komedij let režirati jurje zrnec najbolj zaželen ustvarjalec zadnji desetletje slovenija hip vstopnica strog komisija igralski akademija sprejeti velik talent jagoden izbor generacija akademski avdicija priti talentiran netalentiran stati tik velik priložnost lahek odpreti vrata igralski poklic zvezdniški kariera zamuditi najbolj vroč komedij sezona ogledati ekipa zadnji let skrb slovenski humor pozor termin igra igralec kandidatov profesor dario vargalojza svet lik ekipa ponavljati zato priporočati ogled ekipa več informacija besedilo jurje zrnec igralec režija jurje zrnec trajanje predstava ura minuta odmor,2019-11-21 20:00:00,695,1560008220986311
Gibonni I 31.8.2019 - Bivje/Dekani,open air koncert gibonnija nov koncerten prizorišče musica park bivjedekan koper,2019-08-31 21:00:00,1215,2174899629214459
Valentinov koncert ansambla Naveza z gosti,valentin koncert ansambel naveza gost športen dvorana slovenje gradec datum ura modrijan slovenski zvok dar gajšek maj oderlap šepet nemir vrag muzikant klobasek pep spev aleksandra ježa čakati nepozaben večer vesel vabiti vstopnica dobiti prodajen mesto event petrola splet cena vstopnica eura,2020-02-16 18:00:00,527,3422955154412783
Veseli December V Cerknici,čas skupaj zažurati spodobiti bližati nšk vesel december pravi žurer žurerka vabiti družba petek sobota ogrevan šotor parkirišče cerkniški jezero petek gentleme zabavati poznan dje prebiti sobota nor zabava poskrbeti ines erbus luk basa mali ritem večer ogrevalo vedno dober razpoložen dje vuk vstopnina petek predprodaja karta karta možen nakup prodajen mesto sistem mojekartes tura servis petrola začetek predprodaja dan dogodek petek vstopnina drag član nškje vstopnica brezplačen volja dalja hiter uckanca potrdilo sobota predprodaja karta karta možen nakup prodajen mesto sistem mojekartes tura servis petrola začetek predprodaja dan dogodek sobota vstopnina drag vstop nujen prinesti veljaven oseben vstop dogodek imeti oseba star let oseba mlad let dogodek lahek udeležiti spremstvo starš zakonit skrbnik odštevanje začeti vidimooooooo,2019-12-13 20:00:00,1864,113353868677960
Veseli December V Cerknici,čas skupaj zažurati spodobiti bližati nšk vesel december pravi žurer žurerka vabiti družba petek sobota ogrevan šotor parkirišče cerkniški jezero petek gentleme zabavati poznan dje prebiti sobota nor zabava poskrbeti ines erbus luk basa mali ritem večer ogrevalo vedno dober razpoložen dje vuk vstopnina petek predprodaja karta karta možen nakup prodajen mesto sistem mojekartes tura servis petrola začetek predprodaja dan dogodek petek vstopnina drag član nškje vstopnica brezplačen volja dalja hiter uckanca potrdilo sobota predprodaja karta karta možen nakup prodajen mesto sistem mojekartes tura servis petrola začetek predprodaja dan dogodek sobota vstopnina drag vstop nujen prinesti veljaven oseben vstop dogodek imeti oseba star let oseba mlad let dogodek lahek udeležiti spremstvo starš zakonit skrbnik odštevanje začeti vidimooooooo,2019-12-14 20:00:00,830,113353868677960
Veseli December V Cerknici,čas skupaj zažurati spodobiti bližati nšk vesel december pravi žurer žurerka vabiti družba petek sobota ogrevan šotor parkirišče cerkniški jezero petek gentleme zabavati poznan dje prebiti sobota nor zabava poskrbeti ines erbus luk basa mali ritem večer ogrevalo vedno dober razpoložen dje vuk vstopnina petek predprodaja karta karta možen nakup prodajen mesto sistem mojekartes tura servis petrola začetek predprodaja dan dogodek petek vstopnina drag član nškje vstopnica brezplačen volja dalja hiter uckanca potrdilo sobota predprodaja karta karta možen nakup prodajen mesto sistem mojekartes tura servis petrola začetek predprodaja dan dogodek sobota vstopnina drag vstop nujen prinesti veljaven oseben vstop dogodek imeti oseba star let oseba mlad let dogodek lahek udeležiti spremstvo starš zakonit skrbnik odštevanje začeti vidimooooooo,2019-12-13 20:00:00,1232,113353868677960
Spust gregorčkov,strmol pripravljati tradicionalen spust gregorček vabiti pridružiti sreda ura kozolec toplar pripraviti gostinski ponudba prostor dodelava ladjica prinesti otrok sled spust gregorček strmolski jezerce obenem volja pomladen obarvan ponudba kavarna strmol sončen dan vabiti prostoren terasa kavarna odprt dan,2020-03-11 16:00:00,664,1523360247883467
Djani PURE Night Club Ljubljana,ljubljana prihajati radiš trajković đan priština rojen srpski estradnik lahek pohvala studijski album ogromen število sodelovanje velik ime balkanski scena legendaren status poln klub dvorana regija sam sam nedostaja nem bolje hit razveseljevati oktober klub pura dvom obet nepozaben soboten noč seja vedeti djan party vstopnina vip rezervacija miza rezervacija pureljubljanac pura club ljubljana cesta ljubljanski brigada šiški ljubljana slovenio informacija infa pureljubljanac,2019-10-19 22:00:00,805,445713185468708
Gringo trip (9-mesečno potovanje po Južni Ameriki),december odločiti čas konkreten potovanje pustiti služba izseliti stanovanje ljubljana podati potovanje južen amerika začeti čilo kjer kupiti terenski avto nato odpraviti dogodivščina najprej odpraviti jug patagonija kjer občudovati ledenik hoditi treking upirati močen veter karnevati pričakati rio dejati janeir nato dan potepati vroč brazilija mesec potovanje vrniti sever čil skočiti velikonočen otok nato nadaljevati pot sever slediti obisk altiplan visokoležeč planota čudovit narava raztezati sever argentina čil boliviti perujati mesec redek zrak konstanten višina spustiti najprej amazonski džungla nato puščavnat obala perujati ekvador dejanski prečkati ekvator najesti svež banati kakati nato vstopiti divji kolumbiti priti severen konec južen amerika avto prodati odpraviti venezuela težek gospodarski kriza država naravnost čudovit potopisen predavanje potovati različen pokrajina srečati nenavaden žival prisluhniti številen popotniški prigoda,2019-12-09 19:00:00,1179,175703824416
Ljubljana /G. razstavisce/ Slovenija,balkan festi cec lukas draka lazica gospodarsk razstavisec ljubljana,2019-12-07 23:00:00,2390,111980668819694
☆ Miran Rudan prihaja v Francija ☆ 18.10.,nebo zvezden pot pripeti ime nadeti vzeti nebo odriniti moč vedeti dama uspel prinesti zvezda reč danes hvala lahek zaspati noč nocoj zato spomin zvezda zlat podariti trden veda živ ostal hit miran rudan zapeti franc balanec vabiti,2019-10-18 19:00:00,697,721231007917320
SHOD KAL // 2019,shod kal petek zvit felten zvit felten sobota divati jagoda divati jagoda official norton videti nov lokacija šotor kjer zmotiti priti uživaaati,2019-08-23 21:00:00,1050,2932229436804165
Coby @PergolaPrestige,coby sobota pravočasen rezervirati miza prostor najbolj vroč lokacija portorož oder pergolaprestiga sklop promocija nov cdje prihajati coby dje maka starosten omejitev aga limiti pergol prestiga club obala portoroza slovenio emaiti infoclubpergol gmailc,2020-02-15 23:00:00,1061,474937039249873
Techsturbation / ?????? ?????? / The Legends 25.10.,techsturbation records prihajati prvič dolenjski dober dolenjski klub pivnica nov techen serija cviček techen prvič spored petek nastopiti techen legenda sputnik veztax dje psih dje gumje proper uvod nepozaben noč poskrbeti liam van repar manjkati lina sputnik italija dje gumje veztax dje psih warm liam van repar vstopnina vip informacija techsturbationrecords gmailc rezervacija miza starosten omejitev prevoz relacija trebnje priporočen rezervacija,2019-10-25 21:00:00,672,139371466073168
"Pop Design - KluBar, Kranj",koncert zabava slovenski glasba skupina pop design zvezda stalnica slovenski glasben nebo let legendaren plošča slava vojvodina kranjski pesem lagati potepuh tla poklicati nocoj ostati odhajati dan ljub božičen noč verjeti nekoč zbrati pogum poznati trenuten zelo uspešen pop skupina slovenija narediti absoluten žura tvoriti član miran rudan jan marinšek tomaž pavlina damjan tomažina matjaž vlašič tomaž zajšek vrata odpreti koncert začeti early bird vstopnica naprej koncert količina vstopnica omejen zato zelo priporočati nakup predprodaja koncert let sedaj zelo hiter razprodan vstopiti lahek polnoleten prodajen mesto lokal klubar vstopnica lahek kupiti predprodaja nakazilo trr povezava evstopnica koncert podpirati union,2019-11-02 21:00:00,1325,274530155913754
★  OSARE CLUB  ★ Velika Otvoritev ★ Obala se prebuja ★,prenovljen legendaren club vrač sherati videti čimveč človek,2019-12-13 20:00:00,3496,108750833874219
Koncert: Vlado Kreslin in Mali bogovi,pravljičen celj prihajati izjemen glasbenik vlada kreslina skupaj band mali bog ustvariti glasben popotovanje gorički piran vmes narediti postanek knežji mesto dober decembrski zabava reklo vlada koncert düd kje krek trg kdaj petek december ᴋᴏɴᴄᴇʀᴛ ʙʀᴇᴢᴘʟᴀčᴇɴ pravljičen celj visiti celj celj knežji mesto tica celj,2019-12-20 20:00:00,2261,895600303821792
Valentinov koncert: Nina Pušlar & Pop Design | Kranj,pravi pesem nina pušlar razprodan ljubljanski križanka hit valentinov prihajati kranje skupaj legendaren slovenski skupina pop design praznovati let obletnica delovanje oblikovati valentin koncert dvorana zlat polje kranje velik ime slovenski glasba obilica čudovit hit super koncert partner prijatelj prijateljica vstopnica sistem event petrola slovenija pošta slovenija volja print hom vstopnica cena zgodnji ptiček early bird število vstopnica omejen hrana pijača dogodek poskrbljen videti kranje,2020-02-15 20:00:00,1762,1952074768428080
Portoroz Airport Open Day PDE,stojnica osebje pokazati priključiti strežnik iva pilot kontrolor zračen promet demonstrirati letenje kontrolirati stran kontrolor uporaba pravilen frazeologija letalski postopek preizkusiti lahek letenje simulator roka vzeti kontrola virtualen zračen promet konec lahek dobiti majhen darilec ati oura counter iva slovenio staff will demonstrat how connecti pilot air traffica controller iva network alsa flights under air traffica controla will demonstrated using proper phraseology anda flight procedures will abla fly aircraft flight simulator microphon anda air traffica controla ati end will get nica souvenir,2019-09-28 09:00:00,1423,124219534289855
Festival Decembrrr 2019,tradicionalen festival decembrrr lanski odmeven premiera tobačen izdaja širiti dodaten atraktiven lokacija ljubljana činčin zimski oder zvezda tobačen letos postreči niz velik koncert odpreti hati tribut lov vračati mrfy velik druščina glasbenikov razkriti december centralen postaja prenovljen trubarjev ulica razstava druženje zabava koncertirati matizz poklon john mayer odličen help hit legendaren beatel nazaj skočiti prednovoleten izdaja serija tras hits prizorišče letošnji festival decembrrr zgodba vstop slovenski hiša cankarjev nabrežje kjer lahek anji hrastovšek dvakrat zapeti zimzelen refren zlat doba slovenski popevka anje hrastovšek dueta slovenski hiša romantika nabrež zlat slovenski popevka izvedba odličen anje brunch sejem ustvarjalka čin čin tobačen pozen zajtrk prijatelj brskanje mali umetnina domač ustvarjalka jazz ponedeljek čin čin tobačen janez gabrič boben tadej kampti basa igor leonarda kitara klaviatura šmorna sejem ustvarjalka slovenski hiša priložnost izbiranje mali unikaten darilce obvezen sladkanje matizz john mayer tribut centralen postaja matica srcelomen johnov hit avtorski komad intimen duet jazz ponedeljek smrdeti škofica trio čin čin tobačen nejc škofica klaviatura smrdeti kontrabasa žig smrdeti boben anje hrastovšek dueta slovenski hiša romantika nabrež zlat slovenski popevka izvedba odličen anje hati tribut lov čin čin tobačen mihij priden brat ekipa poreden bluesrocka brunch sejem ustvarjalka centralen postaja pozen zajtrk prijatelj brskanje mali umetnina domač ustvarjalka help beatles tribut centralen postaja vrhusnka imitator liverpoolski kuštravec prvič trubarjev jazz ponedeljek ratek divjak čin čin tobačen jura pukl gost saksa jukič kontrabasa ftičar klaviatura divjak boben mrfy čin čin tobačen nov prvak domač indio rocka scena vračati tobačen polnokrven izdaja big banda grosuplje frank sinater tribut čin čin tobačen fankov hit zagor odličen blaž vrbič živ orkester tras hits centralen postaja žura hit upati priznati dress coda retra tras jazz ponedeljek anje bezjak banda čin čin tobačen bezjak glas jukič kontrabasa vrabec klaviatura smrdeti boben,2019-12-03 19:00:00,528,369190039880978
Crvena jabuka @Trg Leona Štuklja,koncert skupina lumberjacka crven jabuk banda lumberjacka lumberjacka skupina mlad obetaven dolenjec preigravati rocka komad nadzor prvenec izšel lanski leto crven jabuk mojster ljubezenski lirika crven jabuk legendaren sarajevskozagrebški bend prihajati maribor trg leon štukljati večen hit proljeć zov ulica imeti nešta srce srce sviđ stvar številen lahek spomniti vroč poleten dan objeti prijatelj morje spomin dražen žerić vokati darka jelčić boben krešimir kaštelan basa kitara igor matković klavijatura tomislava škrak kitara koncert pričeti vstop prost,2019-12-26 20:00:00,3551,1008920022484743
Pustovanje Grgarske Ravne 2020,leto naokrog kraja zaživeti pusten duh tradicionalen prireditev pustovanje grgarski ravne letos potekati pusten sobota rajati sobota pripraviti pester program pustovanje potekati ogrevan šotor tradicionalen pustovanje sprevod avtohton maska okoliški vas vrhunec dneven pusten dogajanje bata predstaviti etnološki maska liški pustje pustar center vas poskrbljen glasba srečol poln kozarec dogajanje sam prizorišče povezovati radio robina javljanje živ prihod pusten povorek grgarski raven otroški pusten rajanje predstava čudežen napoj voden animacija ples maska otrok rajalen igra program povezovati ekipa fuldora mlad peti plesati tanja žagar otroški program vstop prost večeren program ples maska dober glasba poskrbeti tanje žagar bend ansambel dje cvera lep vabiti najbolj nor zabaven nepozaben pustovanje kuk grgarski ravnebata,2020-02-22 09:00:00,504,112020502142379
Guča večer • Balkan Boys & Dej še'n litro • Poletna scena,guča večer balkan boys dejati liter poleten scena bevek trg nov gorica prost vstop program dejati liter balkan boys balkan boys navaden balkan skupina čist odraz daleč lahek balkan seči kompleksen obenem čustven lahek glasben zvrst energičen odrski nastop pokazati zgoditi zvok balkan zmešati ritem rumb ski gipsy swing regga pravi norij ples skakanje odličen improvizacija hkrati naštudirati repertoar poslušanje balkan boys popeljati pravi katarza začutiti svet balkan popolnoma nov raven zasedba rok nemanič nem vokati trobenta matija marion saksofon andreja štreklja trobenta tomaž zevnik klarinet emir ibrakić kitara nejc poljanec harmonik ilj pušnik kontrabasa basa kitara uroš nemanič boben facebook balkanboys balkanboysbanda youtuba balkan boys banda dejati liter skupina mlad šolan pihalec trobilec tolkalec slovenski ister kras goriški šteti članov repertoar skupina segati eten komad slovenski balkanski prostor avtorski skladba skupina ustvarjati edinstven zvok vzdušje osnoven vodilo skupina zabavati zabavati razviden odrski neodrski nastop skušati dejati liter spraviti publika najmanj noga miza energičen nastop humoren vložko dober glasba izveden celota živ facebook,2019-08-24 20:00:00,701,390823948217754
Javno šimfanje vejperjev,živec greti reč zbrati protestirati,2019-08-19 15:00:00,1925,187870248656991
"Prenos veščin: Ofis, Bevk Perović in Sadar + Vuga",arhitektura storitev temelj posloven model svetovanje sredstvo kompenzacija razlikovati uren fiksen provizija odstotek naložba svetovanje dejanski povezovati čas plačljiv ura prihodek model imeti velik pomanjkljivost velik obračunavanje storitev uren postavka onemogočati rast podjetje lahek povečati dohodek treba zvišati uren postavka najet dodaten deloven sila storitev imeti neotipljiv vrednost naročnik vnaprej ugotoviti dobiti denar zato cena mera podlaga referenca priporočiti storitev gledati strošek vrednost okvir cena projektiranje zagotoviti del sredstvo omogočati arhitekturen raziskovanje razvoj podjetje presoditi vrednost arhitektov storitev vnaprej vedeti lahek zamisliti posloven model arhitekturen dejavnost možen posloven model povezan arhitekturen izdelek model povezan proizvoden storitev reden mesečen vir prihodek primer industrijski oblikovalec univerzalen rešitev ustrezati posloven model organizacija arhitekturen podjetje predolg ostal nespremenjen razviti čas potrošništvo lahek razmisliti model poslovanje ustvarjalen arhitekturen podjetje biro nastal več desetletje podlaga arhitekturen projekt pridobiti javen arhitekturen natečaj kmalu spoznati velik razlika zmaga natečaj zmožnost organizirati arhitekturen biro obstati projektiranje končati projektiranje storitev imeti večina arhitekturen biro velik težava povezan finančen tok poslovanje velik dotok denar čas izvajanje projekt dotok potem storitev opravljen usahniti upravljati treba organizirati arhitekturen biro ohraniti ustvarjalnost mimogrede postati mednaroden prepoznaven zagotoviti plačilo projekt ustrezati strošek projekt treba omejevanje strošek deloven sila strokovnjak projekt omejevati ustvarjalnost program dogodek predavanje slediti enouren pogovor moderirati mik cimolina tokrat individualen svetovanje vabiti morebiten vprašanje predavatelj dogodek poslati enaslov infa czks druženje glasben spremljav dje junzija videopodoba mida generator prijava potreben predhoden prijava dogodek center kreativnost sodelovanje zbornica arhitektura prostor slovenija vljuden vaba dogodek udeležba član zaps prejeti krediten točka predavatelj rok oman ofis arhitekt arhitekturen biro ofis arhitekt let ustanoviti rok oman špeti videčnik študirati ljubljanski fakulteta arhitektura magistrirati architecturati association london biro ustanoviti vrnitev slovenija potem zmagati natečaj prenov turjaški palača mesten muzej ljubljana takrat biro izvesti več javen projekt stadion stanovanjski večstanovanjski objekt hotel posloven objekt slovenija francija rusija španija idr prejeti več mednaroden priznanje trenuten rok špeti predavati gsd univerza harvard več projekt biro lahek prebrati spleten stran boštjan vug sadar vug biro sadar vug jurje sadar boštjan vug ustanoviti let zmaga natečaj objekt gospodarski zbornica slovenija več desetletje delovanje biro usmeriti arhitekturen praksa odprt inovativen integralen biro stremeti kakovost voda močen prepričanje progresiven arhitektura prispevati družben napredek blagostanje hkrati širiti domišljija dražiti čut odzivati ustanovitev biro izvesti več javen objekt stadion izobraževalen posloven objekt stanovanjski večstanovanjski objekt slovenija rusija belgija idr boštjan vug diplomirati fakulteta arhitektura ljubljana študij nadaljevati architecturati association london predavati pomemben arhitekturen šola evropa berlaga institut iaaca barcelona berlin münster tehniški univerza gradec šola politecnica milan šola confluenca lyon več lahek prebrati spleten stran vas perović bevka perović arhitekt biro matija bevka vas perović ustanoviti let takrat izvesti več objekt stanovanjski večstanovanjski gradnja izobraževalen verski objekt slovenija belgija avstrija češki večina naročilo pridobiti natečaj pomemben zmaga natečaj lahek šteti projekt islamski verski kulturen center ljubljana nuk drama idr projekt prenov oddelek matematika fakulteta fizika matematika ljubljana prejeti poseben omemba mlad arhitekt nagrada mies van der roha let vas perović diplomirati fakulteta arhitektura beograd magistrirati berlaga institut arhitektura amsterdam več lahek prebrati spleten stran projekt prenos veščina center kreativnost czka interdisciplinaren platforma povezovati promovira predstavljati podpirati dejavnost razvoj kulturen kreativen sektor kks slovenija aktivnost spodbujati opolnomočenje potencial družben ekonomski vrednost sektor aktivneje povezovati gospodarstvo znanost izobraževanje sektor spodbujati razvoj projekt nastajati presečišče umetnost kultura eksperiment trg podjetništvo gospodarstvo združevati ustvarjalnost proizvodnja distribucija dobrina storitev vsebovati izražati kulturen kreativen vsebina rezultat projekt konec posloven uresničljiv merljiv povečevati dodati vrednost usmerjen reševanje poseben družben problem prispevati družben napredek blaginja namen organizirati sklop predavanje poimenovati prenos veščina predstavljati izkušnja karieren pot uveljavljen kreativec poslovnežev delovati kulturnokreativen sektor zaznati slovenski kulturen trg celota vzpostavljen zato kreativen industrija slovenija poln razvit prenos veščina spodbujati prenos znanje omogočati vpogled dogajanje posamezen kulturen segment globalen tržišče,2019-09-18 18:00:00,562,163500216995762
Otvoritev zimskega festivala December v Ankaranu,vabiti otvoritev festival december ankaran zbrati tradicionalen decembrski prizorišče kjer ura pesem zborček ankaran prižig prazničen lučka supati začeti decembrski praznovanje koncert zabavati skupina manouch ljubljana priti poveseliti,2019-12-06 18:00:00,750,105602916138949
Best of RNB,program besti rnba hip hop all times reklo iti plesati imeti kje diddyje destiny childa mary snoop rir wutang branda cool jje ruff ryders usher nelly mati pobožati reklo zrihtati punca zadovoljen migati rita pol okej titel says iti all urban night with besti hip hop anda songs till today caus still lov diddy destiny childa mary snoop rir wutang branda cool anda ruff ryders anda when usher anda nelly hit thati sweet spot hers just wants danec anda grinda dje dey dje marte diiinza klub cirkus trg mladinski deloven brigada cena vstopnica tickets prices navaden regular eura vip eura informacija infa cirkusklubs vip rezervacija miza rezervacija cirkusklubs izgubljen predmet lost founda garderobacirkus gmailc,2019-12-07 23:00:00,685,237302949627686
Otvoritev @Disko Klub Rezidenca,vrata velik stil odpirati velik diska klub štajerski diska klub rezidenca pridružiti zabava let otvoritev sobota oktober ura naprej svet lenart nepozaben otvoritven zabava top ekipa barman poskrbeti pijača dobrodošlica nato svet rezidenčen zabava party animacija popeljati dje hostes rezervacija miza telefonski številka omejen število miza rezervacija obvezen nakup boati izbira poseben ponudba pester program dogodek spremljati pridružiti nov zgodba dober diska čas videti oktober rezidenca vstopnina starosten omejitev,2019-10-19 21:00:00,1725,106417717399908
500. VEČNI DERBI,hala tivoli oktober praznik slovenski hokej hokejist olimpija jesenice palica prekrižati spominjati izjemen trenutek tivoli zgodba spisati derbija tivoli tresti zato vsinahokej ogrevanje velik derbiti najprej spremljati tekma slovenski hokejski legenda led vračati velik ime bogat zgodovina klub imeti priložnost ponoven videti dejan kontrec bojan zajec iti jan dušan lep matjaž kopitar andrej razinger robert kristan mnog sled tekma aktualen ekipa klub šteti državen prvenstvo tekmovanje alpski hokejski liga vstopnica veljati tekma cena vstopnica predprodaja eura eura študent dijak cena vstopnica blagajna tekma eura vstopnica lahek zagotoviti vstopnica imeti ura tekma brezplačen prevoz lpp prizorišče,2019-10-26 16:00:00,930,134798683234416
Cukrarna // Predstavitev,niz dogodek odprtje cukraren lokacija mesten muzej ljubljana konferenčen dvorana cukraren rafinerija sladkor usoden požar tobačen tekstilen tovarna nadomesten vojašnica bivališče družben obrobje vir navdih literat prostor ivati cankar umestiti zgodba žlahten hrepenenje najbolj srhljiv mrtvašnica najbolj brezizhoden okolje bivališče brezdomec projekt revitalizacija degradiran območje cukraren območje let volumen let star tovarna sladkor zaživeti nov prostor kultura umetnost upravljati javen zavod muzej galerija mesto ljubljana zgodba cukraren usmerjen prihodnost predstaviti blaž vurnik muzej galerija mesto ljubljana zgodovinski kontekst met gabron majda gostinčar služba razvojen projekt investicija mol predvajati posnetek vizualizacija zgodba cukraren jerneja šipoš scapelab arhitekturen zasnova maga matej demšič oddelek kultura mol pomen nov prostor mesto širok blaž peršin alenka gregorič muzej galerija mesto ljubljana vizija nov prostor,2019-12-10 11:00:00,516,123191654959
22. Slovenski festival vin,obiskati slovenski festival vino cankarjev dom kjer predstaviti vinar slovenski vinoroden dežela številen tuj vinar festival lahek okušati različen vinski vzorec manjkati vrhunski kulinarik kmalu razkriti več vstopnica event,2019-11-14 16:00:00,4063,188153304640263
Jan Plestenjak @Casino Mond,najbolj zaželen priljubljen slovenski glasbenikov vljuden vabiti koncert jan plestenjak petek vstopnina povrniti žeton igra,2019-11-29 21:30:00,752,162556233905630
Club Tarantela with MIKE VALE,club taranteti with mik val sreda nekoč slovenski konjica galamti velik taranteti zadnji let skrivnosten potuhniti december planiti dan zatresti nikoli opomba epicenter pub bel konj pričakovati popotresen sunek dje lina mik val fba sce mik val najbolj priljubljen elektronski dja producent dober poznan domač mednaroden obzorje sodelovati števin velik ime velik roger sancheza umek žura definitiven zamuditi obet pravi hous poslastica ted funka din sibbjag cugiio vstopnina slediti zabava,2019-12-25 22:00:00,578,1548633335380588
